id,record_key,timestamp,from_bank,from_account,from_country,to_bank,to_account,to_country,amount_received,receiving_currency,amount_paid,payment_currency,payment_format,is_laundering,predicted_alert,model_score,is_dashboard_sample
6221,2022/09/01 00:04|00867|800E94380|00867|800E94380|31119.88|US Dollar,2022-09-01 00:04:00,Bank 867,800E94380,DE,Bank 867,800E94380,DE,31119.88,USD,31119.88,USD,Reinvestment,f,f,0.2962,t
7820,2022/09/01 00:19|011798|80141C330|011798|80141C330|4.54|US Dollar,2022-09-01 00:19:00,Bank 11798,80141C330,SG,Bank 11798,80141C330,SG,4.54,USD,4.54,USD,Reinvestment,f,f,0.3411,t
14837,2022/09/01 00:08|005610|80207E7F0|005610|80207E7F0|17.96|US Dollar,2022-09-01 00:08:00,Bank 5610,80207E7F0,US,Bank 5610,80207E7F0,US,17.96,USD,17.96,USD,Reinvestment,f,f,0.046,t
38974,2022/09/01 00:15|018252|8046C4ED0|018252|8046C4ED0|12031.95|US Dollar,2022-09-01 00:15:00,Bank 18252,8046C4ED0,NL,Bank 18252,8046C4ED0,NL,12031.95,USD,12031.95,USD,Reinvestment,f,f,0.3637,t
40641,2022/09/01 00:13|018453|804B09910|018453|804B09910|1191458.78|US Dollar,2022-09-01 00:13:00,Bank 18453,804B09910,AE,Bank 18453,804B09910,AE,1191458.78,USD,1191458.78,USD,Reinvestment,f,f,0.1067,t
49585,2022/09/01 00:04|0013514|80596D5B0|0287733|8279C0820|252.24|US Dollar,2022-09-01 00:04:00,Bank 13514,80596D5B0,US,Bank 287733,8279C0820,US,252.24,USD,252.24,USD,Credit Card,f,f,0.3311,t
49656,2022/09/01 00:08|007793|805991270|007793|805991270|7492.61|US Dollar,2022-09-01 00:08:00,Bank 7793,805991270,US,Bank 7793,805991270,US,7492.61,USD,7492.61,USD,Reinvestment,f,f,0.3781,t
64589,2022/09/01 00:16|0210029|807EB26D0|0210029|807EB26D0|30741.95|US Dollar,2022-09-01 00:16:00,Bank 210029,807EB26D0,DE,Bank 210029,807EB26D0,DE,30741.95,USD,30741.95,USD,Reinvestment,f,f,0.2413,t
69010,2022/09/01 00:11|008903|808B1F230|008903|808B1F230|6.69|US Dollar,2022-09-01 00:11:00,Bank 8903,808B1F230,HK,Bank 8903,808B1F230,HK,6.69,USD,6.69,USD,Reinvestment,f,t,0.7286,t
71811,2022/09/01 00:15|0212191|8092378A0|0212191|8092378A0|9.10|US Dollar,2022-09-01 00:15:00,Bank 212191,8092378A0,SG,Bank 212191,8092378A0,SG,9.1,USD,9.1,USD,Reinvestment,f,f,0.1431,t
83666,2022/09/01 00:06|0112010|80B3134B0|0112010|80B3134B0|21.37|US Dollar,2022-09-01 00:06:00,Bank 112010,80B3134B0,NL,Bank 112010,80B3134B0,NL,21.37,USD,21.37,USD,Reinvestment,f,f,0.1489,t
88773,2022/09/01 00:08|0030935|80C15D7E0|0030935|80C15D7E0|4152.08|US Dollar,2022-09-01 00:08:00,Bank 30935,80C15D7E0,NL,Bank 30935,80C15D7E0,NL,4152.08,USD,4152.08,USD,Reinvestment,f,f,0.2555,t
96981,2022/09/01 00:21|0336105|80DB05C30|0336105|80DB05C30|5707.08|US Dollar,2022-09-01 00:21:00,Bank 336105,80DB05C30,GB,Bank 336105,80DB05C30,GB,5707.08,USD,5707.08,USD,Reinvestment,f,f,0.0608,t
103756,2022/09/01 00:19|027453|80F1D65B0|027453|80F1D65B0|3934.12|US Dollar,2022-09-01 00:19:00,Bank 27453,80F1D65B0,HK,Bank 27453,80F1D65B0,HK,3934.12,USD,3934.12,USD,Reinvestment,f,f,0.0806,t
105174,2022/09/01 00:29|0035832|80F67B140|0035832|80F67B140|26547.33|US Dollar,2022-09-01 00:29:00,Bank 35832,80F67B140,NL,Bank 35832,80F67B140,NL,26547.33,USD,26547.33,USD,Reinvestment,f,f,0.1167,t
106895,2022/09/01 00:09|004744|80FC541B0|004744|80FC541B0|39699.47|US Dollar,2022-09-01 00:09:00,Bank 4744,80FC541B0,AE,Bank 4744,80FC541B0,AE,39699.47,USD,39699.47,USD,Reinvestment,f,f,0.1677,t
